rank,run_id,volume_lookback,spike_multiplier,exit_volume_ratio,exit_bars,step_weight,max_abs_weight,return_pct,final_equity,max_drawdown_pct,trades,total_fees,sharpe_per_bar,candles,start_time_utc,end_time_utc,strategy,network,coins,interval,initial_cash
800,80,3,3,0.5,3,0.03,0.3,-17.4375083,8256.2491696,-17.43891707,4172,1764.61659361,-0.29850166,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
801,704,13,3,0.4,2,0.03,0.3,-17.50335068,8249.66493248,-17.50455151,4713,1805.26171583,-0.32175645,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
802,274,5,3,0.4,2,0.05,0.3,-17.50941259,8249.05874113,-17.51385245,4137,1760.35614001,-0.28869104,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
803,262,5,2.5,0.6,3,0.05,0.3,-17.53794782,8246.2052175,-17.5449593,3836,1664.95574138,-0.31127713,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
804,794,13,3.5,0.6,2,0.03,0.3,-17.54242716,8245.75728418,-17.5835603,4687,1781.54069857,-0.31538052,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
805,456,8,2.5,0.5,2,0.08,0.3,-17.58299373,8241.70062684,-17.59009094,3723,1804.52942535,-0.28783318,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
806,44,3,2.5,0.6,3,0.03,0.3,-17.66330375,8233.6696249,-17.66606773,4175,1720.31010854,-0.31627733,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
807,560,8,3.5,0.5,2,0.03,0.3,-17.66656513,8233.34348702,-17.66939726,4820,1804.95846433,-0.29230858,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
808,674,13,2.5,0.5,3,0.03,0.3,-17.67370749,8232.62925134,-17.72813182,4509,1813.50489877,-0.27804405,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
809,58,3,3,0.4,2,0.05,0.3,-17.67933703,8232.06629735,-17.76068045,4042,1785.02592029,-0.29194866,4272,2026-07-03T07:17:00+00:00,2026-07-06T06:28:00+00:00,whale-market-maker-v2,mainnet,"HYPE,BTC,ETH",1m,10000.0
